u`,v`,Lv,x,y,X,Y,Z,測量日期和時間,數據名,Peak/Valley測量,累計時間,校準CH,基準值,序列號,Tcp,duv,λd,Pe
0.1526,0.1976,28.5,0.2846,0.317,25.6,28.5,35.8,2025/5/15 16:55,樣本0153,OFF,1,0,0,40001375,8484,0.012,487.3,17.7
0.1585,0.2004,144.4,0.1215,0.0625,280.5,144.4,1885,2025/5/15 16:55,樣本0154,OFF,1,0,0,40001375,-----,-----,471,100
0.1565,0.2062,363.6,0.1173,0.0558,764.3,363.6,5391,2025/5/15 16:56,樣本0155,OFF,1,0,0,40001375,-----,-----,470.8,102.2
0.1558,0.2118,789.9,0.1159,0.0538,1702,789.9,12190,2025/5/15 16:56,樣本0156,OFF,1,0,0,40001375,-----,-----,470.8,102.9
0.1556,0.2106,1227,0.1156,0.0532,2663,1227,19160,2025/5/15 16:56,樣本0157,OFF,1,0,0,40001375,-----,-----,470.8,103.1
0.1555,0.2101,1664,0.1154,0.053,3623,1664,26110,2025/5/15 16:57,樣本0158,OFF,1,0,0,40001375,-----,-----,470.8,103.2
0.1554,0.2298,2098,0.1152,0.0529,4573,2098,33010,2025/5/15 16:57,樣本0159,OFF,1,0,0,40001375,-----,-----,470.8,103.2
0.1554,0.2296,2534,0.1152,0.0528,5529,2534,39940,2025/5/15 16:57,樣本0160,OFF,1,0,0,40001375,-----,-----,470.8,103.2
0.1553,0.2296,2970,0.1151,0.0528,6480,2970,46840,2025/5/15 16:58,樣本0161,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1552,0.2296,3398,0.115,0.0528,7408,3398,53590,2025/5/15 16:58,樣本0162,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1512,0.2395,3835,0.115,0.0527,8367,3835,60540,2025/5/15 16:58,樣本0163,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1512,0.2395,4267,0.115,0.0527,9305,4267,67340,2025/5/15 16:59,樣本0164,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1521,0.2395,4701,0.115,0.0527,10250,4701,74190,2025/5/15 16:59,樣本0165,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1521,0.2395,5131,0.1149,0.0528,11170,5131,80940,2025/5/15 16:59,樣本0166,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1531,0.2397,5554,0.1149,0.0528,12080,5554,87500,2025/5/15 17:00,樣本0167,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1525,0.2397,5990,0.1149,0.0529,13020,5990,94330,2025/5/15 17:00,樣本0168,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1531,0.2398,6427,0.1149,0.0529,13970,6427,101200,2025/5/15 17:00,樣本0169,OFF,1,0,0,40001375,-----,-----,470.8,103.3
0.1531,0.2398,6850,0.1148,0.0529,14870,6850,107800,2025/5/15 17:01,樣本0170,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1519,0.2398,7275,0.1148,0.0529,15790,7275,114400,2025/5/15 17:01,樣本0171,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1528,0.24,7705,0.1148,0.053,16700,7705,121000,2025/5/15 17:02,樣本0172,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1528,0.24,8135,0.1148,0.053,17630,8135,127800,2025/5/15 17:02,樣本0173,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1527,0.2401,8552,0.1148,0.053,18510,8552,134200,2025/5/15 17:02,樣本0174,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1517,0.2402,8981,0.1147,0.0531,19410,8981,140800,2025/5/15 17:03,樣本0175,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1517,0.2403,9403,0.1147,0.0531,20310,9403,147300,2025/5/15 17:03,樣本0176,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1526,0.2403,9829,0.1147,0.0531,21210,9829,153900,2025/5/15 17:04,樣本0177,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1516,0.2405,10250,0.1147,0.0532,22090,10250,160300,2025/5/15 17:04,樣本0178,OFF,1,0,0,40001375,-----,-----,470.9,103.3
0.1515,0.2405,10460,0.1147,0.0532,22540,10460,163500,2025/5/15 17:04,樣本0179,OFF,1,0,0,40001375,-----,-----,470.9,103.3
